Rate1	Rate2	 Latitudine
36.2531	35.8866	46.2298
35.5984	35.3051	46.2299
36.0998	35.814	46.2298
35.8419	35.4963	46.2299
35.4983	35.366	46.2298
36.3714	36.1142	46.2298
36.0788	35.6981	46.2299
36.0361	35.8165	46.2298
36.1449	36.045	46.2298
36.0133	35.8131	46.2299
35.984	35.5293	46.2298
35.7216	35.4946	46.2298
36.0935	35.628	46.2298
35.8274	35.6269	46.2299
35.8314	35.8462	46.2298
35.7728	35.6007	46.2299
35.2927	35.2577	46.2298
36.112	35.5233	46.2298
36.3747	36.0984	46.2298
35.6041	35.4356	46.2298
35.9397	35.8468	46.2298
35.3313	35.1099	46.2299
35.79	35.5939	46.2299
35.9691	35.4991	46.2298
35.1649	34.8798	46.2299
36.0438	35.9059	46.2299
36.3471	36.0715	46.2298
35.3639	35.1652	46.2298
35.7651	35.7069	46.2299
35.5956	35.3764	46.2299
35.8185	35.4992	46.2298
36.0337	35.7843	46.2298
36.1639	35.9132	46.2298
35.3048	35.2628	46.2299
36.2176	35.8494	46.2299
35.8707	35.657	46.2298
35.6022	35.4242	46.2298
35.7934	35.5666	46.2298
36.503	35.7572	46.2299
35.4961	35.2891	46.2298
36.1589	35.786	46.2299
36.2723	35.9697	46.2298
35.634	35.4156	46.2298
35.6813	35.2737	46.2298
36.2392	36.1048	46.2298
35.6359	35.3462	46.2299
35.9323	35.7192	46.2298
36.5039	36.1369	46.2299
36.2685	36.1054	46.2299
35.8999	35.5967	46.2298
36.3363	36.1136	46.2298
36.3053	36.0221	46.2299
36.2321	35.8723	46.2299
36.3004	35.7773	46.2299
35.7786	35.6088	46.2299
36.6001	35.9698	46.2298
35.6344	35.4048	46.2298
35.7549	35.4842	46.2298
36.0395	35.8082	46.2299
35.6781	35.3496	46.2299
36.4315	36.0625	46.2298
35.577	35.2619	46.2299
35.6868	35.3727	46.2299
35.6398	35.5415	46.2298
35.9684	35.6858	46.2298
35.9668	35.6394	46.2298
35.9601	35.719	46.2298
36.086	35.6479	46.2298
36.479	36.2108	46.2299
35.8375	35.6081	46.2298
36.4521	36.0307	46.2299
36.0275	35.8896	46.2299
35.8497	35.6105	46.2298
35.5477	35.4646	46.2298
36.2308	35.7516	46.2298
35.8662	35.4665	46.2298
35.7946	35.528	46.2298
35.0117	34.8149	46.2299
36.0374	35.6159	46.2298
36.0489	35.5872	46.2299
35.5855	35.4649	46.2298
35.8038	35.5497	46.2298
35.2926	35.1331	46.2299
35.2114	34.9052	46.2298
35.5176	35.2995	46.2298
35.5333	35.389	46.2298
36.4471	36.1139	46.2298
35.2288	34.9687	46.2298
35.783	35.3984	46.2298
35.2705	34.9899	46.2298
35.4867	35.2492	46.2298
36.3038	35.9534	46.2299
35.3725	35.1611	46.2299
35.6222	35.4732	46.2298
35.4797	35.2297	46.2298
35.7804	35.4522	46.2298
35.7823	35.5288	46.2298
35.4604	35.2772	46.2298
35.6326	35.3234	46.2298
35.3906	35.2752	46.2298
35.8784	35.7343	46.2298
35.6544	35.3072	46.2298
35.5632	35.1738	46.2298
35.9332	35.7458	46.2298
36.4132	35.9452	46.2298
35.6329	35.371	46.2298
35.8164	35.4164	46.2298
36.1941	35.994	46.2298
35.5962	35.2946	46.2298
35.8087	35.5856	46.2298
35.6819	35.348	46.2299
35.6933	35.4682	46.2299
36.0671	35.9087	46.2298
35.7715	35.3585	46.2298
